# English → Traditional-Chinese assist derived from pinned CC-CEDICT,
# FrequencyWords English vocabulary, and rime-essay ranking data.
# Curated Hong Kong rows are a separately pinned higher-priority input.
# CC-CEDICT source URL: https://cc-cedict.org/editor/editor_export_cedict.php?c=gz
# CC-CEDICT source date: 2026-07-12T16:23:25Z
# CC-CEDICT SHA-256: 90e2881776366f606171a977a1f54786196f428ba604c728a279d4aaff7223a8
# Per-key candidate cap: 3; key length<=32.
english,chinese,freq
adaptations,倚天屠龍記,0.2342
adapted,人性化,0.3304
adapted,漫改,0.2185
adapted,小熊維尼,0.2335
adapting,高接梨,0.2000
adapting,承受力,0.2418
adapting,戀舊情結,0.2000
adaptive,自適應,0.2633
adaptive,調適,0.2346
add,對,0.7793
add,加,0.6909
add,加上,0.6785
add-on,外掛,0.3476
add-on,資料片,0.2702
add-on,外加附件,0.2089
added,額外,0.5412
added,鳳凰古城,0.2038
added,新增,0.4377
added-value,附加值,0.2537
addendum,追加,0.3022
addendum,補遺,0.2316
addendum,後附,0.2297
adder,黃頷蛇,0.2100
adderall,阿得拉,0.2000
adderall,阿得拉爾,0.2000
addict,中毒者,0.2296
addict,網蟲,0.2394
addict,癮君子,0.2318
addicted,溺,0.2437
addicted,酖,0.2195
addicted,沉迷,0.3391
addiction,癮,0.2662
addiction,嗜好,0.2594
addiction,成癮,0.2457
addicts,低頭族,0.2000
adding,畫蛇添足,0.2316
adding,澥,0.2282
adding,餘角,0.2230
addis,亞的斯亞貝巴,0.2286
addis,阿迪斯阿貝巴,0.2000
addison,艾迪生,0.2228
addison's,阿狄森氏病,0.2000
addition,加法,0.2453
addition,加減乘除,0.2300
addition,續增,0.2243
additional,另外,0.7462
additional,補充,0.7039
additional,額外,0.5412
additionally,附帶,0.3404
additions,酌加,0.2268
additive,添加劑,0.2695
additive,助劑,0.2456
additive,外加劑,0.2328
additives,磷酸鈣,0.2300
address,地址,0.5958
address,講話,0.3904
address,致辭,0.2622
addressed,專題,0.3831
addressed,先決問題,0.2205
addresses,改口,0.2435
addressing,老總,0.3410
addressing,聖人,0.3278
addressing,臣,0.3072
ade,假面具,0.2311
adelaide,阿德萊德,0.2310
adelaide,阿德雷德,0.2257
adelaide,阿得萊德,0.2212
adeline,愛德玲,0.2025
aden,亞丁,0.2347
aden,阿丹,0.2305
aden,亞丁灣,0.2335
adept,內行,0.2539
adept,嫻熟,0.2000
adept,精於,0.2420
adequate,當,0.7059
adequate,充分,0.4798
adequate,夠用,0.4058
adequately,溫飽,0.2566
adequately,公私兼顧,0.2236
adequately,小康社會,0.2448
adhd,多動症,0.2586
adhd,注意力缺陷過動症,0.2090
adhd,利他林,0.2022
adhere,粘貼,0.3578
adhere,粘,0.3026
adhere,依附,0.2538
adhered,一以貫之,0.2302
adhesive,黏膠,0.2250
adhesive,膠黏,0.2000
adhesive,膠黏劑,0.2000
adidas,阿迪達斯,0.2497
adjacent,相鄰,0.3011
adjacent,鄰,0.2704
adjacent,鄰近,0.2570
adjective,形容詞,0.3390
adjective,形容辭,0.2112
adjective,詞性,0.2614
adjectives,兮兮,0.2463
adjectives,了去了,0.2000
adjoining,守,0.3745
adjoining,江南,0.4296
adjourn,散會,0.2309
adjourn,休會,0.2285
adjourn,休庭,0.2277
adjust,對,0.7793
adjust,調整,0.6095
adjust,調節,0.4958
adjustable,可調,0.2526
adjustable,伸縮,0.2500
adjustable,活動扳手,0.2233
adjusted,整齊劃一,0.2326
adjustment,調適,0.2346
adjustment,調價,0.2598
adjustment,調幅,0.2302
adjustments,裸分,0.2000
adjutant,禿鸛,0.2000
admin,小編,0.3930
admin,群主,0.2000
administer,管理,0.6951
administer,聽,0.6575
administer,監管,0.5112
administered,金門,0.2501
administered,馬祖,0.2328
administered,金門島,0.2272
administering,外科醫生,0.2592
administering,內科醫生,0.2301
administering,劑次,0.2000
administration,管理,0.6951
administration,行政,0.4186
administration,行政部門,0.2820
administrative,行政,0.4186
administrative,里,0.6891
administrative,科,0.4394
administrator,官員,0.4299
administrator,管理員,0.4167
administrator,管家,0.3213
administrator's,拙政園,0.2321
admirable,淑,0.2775
admirable,好人好事,0.2308
admirable,率性,0.2408
admiral,上將,0.2529
admiral,大將,0.2991
admiral,中將,0.2622
admiralty,金鐘,0.2447
admiration,唷,0.2485
admiration,望而興嘆,0.2252
admiration,偉大,0.4641
admire,欣賞,0.5449
admire,羨慕,0.4378
admire,服,0.4128
admired,讓人羨慕,0.2342
admired,女傑,0.2307
admired,久慕,0.2236
admirer,粉轉黑,0.2000
admires,慕洋犬,0.2000
admiring,孤芳自賞,0.2325
admiring,驚賞,0.2139
admission,票價,0.3184
admission,錄取率,0.2680
admission,准考證,0.2593
admissions,辦,0.5888
admissions,招辦,0.2515
admissions,招生官,0.2000
admit,進,0.6314
admit,錄取,0.5244
admit,承認,0.5173
admittance,准入,0.2581
admittance,派司,0.2234
admittance,謝絕參觀,0.2224
admitted,上岸,0.4577
admitted,考取,0.3023
admitted,考進,0.2514
admittedly,固然,0.3802
admittedly,固,0.2898
admitting,避重就輕,0.2304
adolescence,青春期,0.2900
adolescence,豆蔻年華,0.2303
adolescence,青年期,0.2274
adolescent,青少年,0.3702
adolescent,半大不小,0.2240
adolescent,半大小子,0.2000
adolf,希特勒,0.4287
adolph,越飛,0.2236
adolphe,梯也爾,0.2197
adonis,阿多尼斯,0.2260
adonis,男神,0.2000
adopt,通過,0.7721
adopt,採用,0.6771
adopt,採納,0.3344
adopted,義,0.3517
adopted,中正,0.2359
adopted,養女,0.2335
adopting,中體西用,0.2000
adoption,收養,0.2635
adoption,承繼,0.2320
adoption,乾爹,0.2438
adoptive,乾,0.4329
adoptive,乾爹,0.2438
adoptive,乾媽,0.2433
adopts,文青,0.2465
adorable,可愛,0.5344
adorable,卡哇伊,0.2410
adorable,萌萌噠,0.2000
adoration,崇拜,0.4002
adore,哈,0.7068
adore,熱愛,0.5615
