# Jyutping (粵拼) dictionary — source rime-cantonese (CC-BY/ODbL) + essay freq
# Toneless codes; includes Cantonese colloquial vocabulary.
# Fields: jyutping, chinese, freq
jyutping,chinese,freq
baasau,把手,0.5038
baasau,把守,0.4711
baasau,罷手,0.4648
baasi,巴士,0.4901
baasi,罷市,0.4594
baasyun,靶船,0.4522
baat,八,0.2903
baat,扒,0.2499
baat,捌,0.2169
baat,丷,0.2076
baat,魃,0.2068
baat,仈,0.2005
baat,茇,0.1991
baat,玐,0.1932
baat,柭,0.1883
baat,釟,0.1883
baat,朳,0.1881
baat,哵,0.1868
baat,坺,0.1833
baat,墢,0.1815
baat,釛,0.1689
baatbou,八步,0.4659
baatdaai,八大,0.4964
baatfu,八苦,0.46
baatgo,八哥,0.4712
baatgok,八角,0.4758
baatgwaa,八卦,0.5171
baathoi,八開,0.4619
baathou,八號,0.4718
baatjam,八音,0.4666
baatjyut,八月,0.4952
baatkoeng,八強,0.4778
baato,把舵,0.4557
baatoi,吧檯,0.4762
baatong,巴塘,0.4642
baatpo,八婆,0.4702
baatsin,八仙,0.4733
baatzan,八珍,0.4644
baatzi,八字,0.4864
baau,包,0.3151
baau,爆,0.2779
baau,炮,0.2615
baau,飽,0.25
baau,鮑,0.2479
baau,胞,0.2225
baau,苞,0.2183
baau,趵,0.2181
baau,孢,0.2125
baau,齙,0.2096
baau,勹,0.2015
baau,褜,0.1982
baau,笣,0.1981
baau,枹,0.197
baau,鞄,0.1917
baau,怉,0.1863
baau,蚫,0.1783
baau,骲,0.1772
baau,飹,0.1651
baaubaan,包辦,0.4732
baaubei,包庇,0.4714
baaubiu,爆表,0.4877
baaucaan,包產,0.4625
baaucaau,包抄,0.4658
baaucang,包層,0.461
baauce,包車,0.4781
baaucoeng,包場,0.4645
baaucoi,包菜,0.4641
baaucong,爆艙,0.4499
baaudai,胞弟,0.4633
baaufaat,爆發,0.5454
baaufong,包荒,0.4487
baaufuk,包袱,0.4936
baaugaak,飽嗝,0.4628
baaugam,包金,0.4647
baaugan,包巾,0.4541
baaugei,包機,0.4793
baaugon,爆肝,0.4492
baaugun,爆管,0.4616
baaugung,包公,0.471
baaugwo,包裹,0.5165
baauhaam,包涵,0.4751
baauham,包含,0.5569
baauhei,包起,0.4616
baauhing,胞兄,0.4603
baauhoeng,爆香,0.4644
baauhok,飽學,0.4629
baauhung,爆紅,0.4757
baaujam,爆音,0.4611
